p19x p19y p20x p20y p21x p21y p22x p22y p23x p23y p24x p24y p25x p25y p26x p26y p27x p27y p28x p28y p29x p29y status
142 260 152 253 164 254 174 262 163 266 152 266 233 266 244 266 256 260 266 269 256 273 0
142 261 152 253 164 254 174 262 163 267 152 267 233 267 244 267 257 259 266 270 255 274 1
143 261 152 253 165 253 175 262 164 267 153 267 232 267 243 267 256 259 265 270 254 274 1
143 261 153 253 166 254 176 262 165 267 153 267 234 267 244 267 258 259 268 270 256 274 1
146 263 156 255 168 256 179 264 168 268 157 269 236 268 247 268 259 262 269 272 258 276 1
146 263 155 255 168 255 179 263 167 268 156 268 236 269 247 269 260 262 270 273 259 276 1
145 263 155 256 168 256 179 264 167 268 156 269 235 269 247 269 260 263 270 273 258 276 1
144 263 154 254 167 255 178 264 166 268 154 268 234 269 245 269 259 261 269 272 257 275 1
143 262 153 254 166 254 177 264 165 268 153 268 233 269 244 269 257 261 267 272 256 276 1
143 262 153 254 166 255 177 263 165 268 153 268 233 268 244 268 257 260 267 271 256 275 1
142 262 152 255 165 255 176 264 164 268 153 269 233 269 244 269 257 261 267 271 256 275 1
142 263 152 255 165 256 176 264 164 268 152 269 232 268 243 268 256 261 266 272 255 275 1
142 263 151 255 164 256 175 264 164 268 152 269 232 268 243 268 256 261 266 271 255 275 1
144 265 153 257 166 258 177 265 166 268 154 269 234 269 245 269 258 264 268 273 257 275 1
155 266 164 263 175 262 185 265 175 268 165 268 245 272 255 272 265 273 275 279 265 279 0
147 262 157 256 169 256 181 264 169 267 157 266 236 271 248 271 260 267 269 276 258 278 0
143 258 153 250 164 251 175 258 164 261 153 261 231 265 242 265 254 261 262 270 252 272 0
126 261 136 255 148 255 158 261 148 264 137 264 214 265 224 265 235 261 244 268 234 270 0
116 266 125 258 139 258 150 266 139 270 127 271 205 268 217 268 230 260 240 269 228 272 1
123 268 133 259 146 260 157 268 145 272 133 272 214 271 224 271 238 262 249 272 237 275 1
122 267 132 260 145 260 157 268 145 272 133 273 212 271 224 271 237 263 247 273 235 277 1
121 270 130 262 143 262 155 270 143 274 132 274 212 271 223 271 236 265 246 274 234 277 1
121 270 130 263 143 263 154 270 143 274 131 275 212 272 223 272 236 265 246 274 235 277 1
122 272 131 264 143 264 155 272 143 276 132 276 212 274 223 274 236 267 246 276 234 279 1
120 272 129 265 142 265 154 273 142 276 130 277 210 274 221 274 234 268 244 276 232 279 1
118 272 127 264 141 264 152 272 140 277 128 277 209 274 220 274 234 267 244 277 232 280 1
119 272 128 263 142 264 154 273 142 276 129 277 209 274 220 274 234 266 245 276 233 279 1
119 272 128 264 141 264 153 273 141 277 129 278 210 274 220 274 234 266 245 276 233 280 1
119 273 129 266 141 266 153 273 141 277 130 278 210 275 221 275 235 269 244 277 233 281 1
121 272 131 264 144 264 156 273 144 277 132 278 212 275 223 275 237 268 247 277 235 281 1
122 273 132 265 145 265 156 274 145 278 133 279 212 276 224 276 238 268 248 278 236 282 1
122 272 132 264 145 264 157 272 145 277 133 277 214 275 225 275 239 267 250 277 238 280 1
123 265 132 264 145 263 158 264 146 267 133 268 216 266 226 266 238 268 248 273 237 273 0
125 256 135 248 148 248 160 255 148 259 136 260 216 259 227 259 241 253 251 263 240 266 1
129 252 139 243 152 244 163 251 152 255 140 256 218 255 230 255 243 249 253 258 242 261 1
133 252 143 245 155 245 167 251 155 255 143 256 222 255 234 255 246 250 256 259 246 261 0
136 256 146 254 157 253 168 255 158 259 147 260 229 258 239 258 250 258 260 265 249 266 0
160 268 170 267 182 266 192 266 182 270 171 271 254 271 264 271 274 274 282 278 273 278 0
175 278 185 281 196 280 207 276 197 280 185 281 262 283 271 283 280 291 289 292 280 291 0
173 274 183 274 194 273 205 273 195 276 184 276 261 279 270 279 280 284 289 286 280 287 0
172 277 183 276 194 274 205 277 194 281 183 282 261 285 271 285 282 286 291 290 281 292 0
158 276 169 278 180 277 190 277 180 282 169 282 249 283 258 283 268 288 276 291 267 292 0
146 267 157 262 169 262 179 269 168 273 157 273 237 277 249 277 261 273 270 281 259 283 1
142 267 151 260 164 260 174 269 163 273 152 272 233 276 244 276 257 270 266 280 255 283 1
140 264 150 257 163 258 173 267 162 271 150 270 231 275 242 275 255 269 265 278 254 282 1
138 264 148 257 161 258 171 267 160 271 148 270 229 274 240 274 253 268 262 277 251 281 1
135 266 144 259 157 259 168 267 157 271 145 271 225 273 236 273 249 268 259 277 248 280 1
137 266 146 259 159 260 169 268 158 272 147 272 227 274 238 274 251 268 260 277 249 281 1
139 265 149 258 161 259 171 267 160 271 149 270 229 274 240 274 252 269 261 277 251 281 1
139 261 149 254 162 255 172 265 160 267 149 266 229 272 240 272 253 268 262 278 250 280 1
139 259 149 252 162 254 172 263 160 266 149 265 226 272 238 272 251 269 261 279 249 281 1
140 257 151 251 163 253 173 262 161 265 150 264 228 272 240 272 252 268 261 278 249 280 1
139 258 150 252 162 254 171 263 160 266 149 265 227 272 240 272 252 269 260 279 248 281 1
135 260 146 254 158 255 167 264 156 267 145 266 224 272 236 272 249 268 258 278 246 280 1
137 263 147 260 158 260 168 265 158 267 146 267 225 273 237 273 248 274 256 281 246 281 0
133 266 143 259 154 259 165 266 154 270 143 270 222 272 233 272 245 267 254 276 243 278 0
112 270 122 262 134 261 145 268 135 273 123 275 202 268 212 268 226 260 236 268 225 272 1
106 273 115 265 128 264 139 271 128 277 117 278 195 269 206 269 219 260 230 268 219 272 1
102 274 111 266 124 265 136 272 124 277 113 279 192 269 202 269 216 260 227 269 215 273 1
101 275 111 267 124 266 136 273 125 279 112 280 192 270 203 270 217 260 228 269 217 273 1
102 275 112 266 125 266 137 274 125 278 113 280 193 270 203 270 217 260 228 269 217 274 1
103 280 113 277 124 275 135 276 124 279 113 282 194 272 204 272 217 270 226 273 216 275 0
102 277 112 270 125 269 136 275 125 280 113 281 193 272 204 272 217 264 227 271 216 275 0
104 275 113 266 126 265 138 273 127 278 115 280 194 270 204 270 218 261 228 269 217 274 1
106 275 115 271 127 269 138 271 127 275 116 277 196 268 206 268 218 266 229 270 218 272 0
110 270 119 265 131 264 142 266 132 271 120 273 199 265 210 265 223 261 233 267 222 269 0
115 266 125 258 137 257 148 263 137 268 126 269 203 263 214 263 227 257 236 264 226 268 1
119 262 128 254 140 254 152 260 141 264 129 265 206 260 217 260 230 254 239 262 229 265 1
122 260 132 252 145 251 156 259 145 263 133 264 210 261 222 261 235 254 244 263 233 266 1
132 259 142 252 153 252 163 257 154 262 143 262 220 261 230 261 242 257 250 266 240 268 0
142 259 152 251 164 251 174 259 163 263 152 263 229 265 240 265 252 260 261 270 251 272 0
122 260 132 249 146 249 157 258 146 263 134 263 211 262 223 262 237 252 246 263 236 266 1
114 263 125 251 139 250 151 260 140 265 126 266 204 261 216 261 231 250 241 263 230 266 1
114 263 124 251 139 250 151 261 139 266 126 267 204 262 216 262 231 251 241 263 230 267 1
117 263 127 251 142 251 154 261 142 266 129 267 208 262 219 262 234 252 244 263 233 267 1
118 263 128 251 144 251 156 262 143 267 130 267 208 263 219 263 235 252 245 265 234 268 1
120 265 129 256 142 256 154 263 142 267 131 268 207 265 219 265 232 257 243 266 231 270 1
121 264 130 256 143 256 155 263 143 267 132 268 209 265 220 265 233 257 243 266 232 269 1
123 264 132 257 145 256 156 263 145 267 134 268 210 265 222 265 234 258 245 267 233 270 1
123 267 132 266 143 264 154 263 144 266 133 268 210 265 220 265 231 267 241 270 231 269 0
122 267 132 260 144 260 155 265 144 269 133 270 211 267 222 267 234 262 244 270 233 273 0
123 268 133 262 145 261 157 268 145 272 133 272 215 270 225 270 238 264 248 273 237 275 1
127 271 137 265 150 264 161 272 149 276 137 277 219 275 229 275 243 268 253 278 241 281 1
129 276 139 268 152 268 163 277 151 282 140 282 221 281 231 281 245 272 254 282 244 286 1
126 279 136 272 150 271 161 280 149 284 137 285 217 284 228 284 242 275 252 285 241 289 1
125 279 136 272 149 271 160 280 148 285 136 285 217 284 227 284 241 275 251 284 240 289 1
125 280 135 273 149 272 160 280 148 285 136 286 218 284 228 284 242 276 252 285 241 290 1
125 280 135 272 148 272 159 281 148 286 136 286 216 285 227 285 241 277 251 286 239 291 1
126 279 136 272 150 271 160 280 148 285 137 285 218 284 228 284 242 276 252 286 241 290 1
128 279 138 271 152 271 162 281 150 286 138 286 220 286 230 286 245 276 255 286 244 291 1
130 281 139 277 151 276 161 281 151 285 140 285 220 285 230 285 243 282 252 288 242 291 0
122 285 132 281 143 281 153 285 143 288 132 289 214 289 226 289 237 286 247 292 236 295 0
119 295 130 289 143 288 155 294 143 300 131 300 213 297 224 297 237 290 248 299 236 303 0
135 305 145 298 158 297 168 303 157 307 146 307 229 305 239 305 252 299 262 306 251 309 0
158 297 170 288 184 289 195 299 183 304 170 303 256 304 267 304 282 295 293 306 281 311 1
159 296 171 288 185 290 197 300 184 305 170 304 256 304 269 304 284 295 294 305 283 311 0
151 259 161 253 173 254 184 261 173 265 161 265 237 264 249 264 262 258 274 264 262 270 0
181 243 190 237 202 238 212 246 202 250 190 249 266 249 277 249 290 243 299 251 289 256 0
135 230 148 225 161 225 173 231 161 234 148 234 216 235 228 235 239 230 248 236 239 239 0
134 237 143 230 155 230 165 238 155 242 144 243 224 241 234 241 246 235 255 244 245 247 1
134 237 143 230 154 230 165 238 154 242 144 243 223 242 233 242 245 236 254 245 243 248 1
130 240 139 233 151 233 162 240 151 245 140 245 217 244 228 244 241 238 250 247 239 251 1
131 242 140 235 153 235 163 243 152 247 141 247 219 247 230 247 242 242 250 251 240 254 1
132 244 141 236 154 236 165 245 154 249 142 249 220 248 231 248 244 242 253 252 242 255 1
129 244 138 238 151 237 161 245 150 249 139 250 217 248 228 248 242 242 252 251 240 254 1
125 244 134 239 146 239 157 245 146 249 135 249 213 247 223 247 236 242 245 250 234 253 0
123 242 133 235 146 235 156 243 145 247 134 247 211 247 222 247 235 240 245 249 234 253 1
115 242 125 235 136 236 146 243 136 248 125 248 204 246 214 246 226 239 235 247 225 251 1
116 244 126 236 138 236 149 243 138 248 127 249 204 245 215 245 228 239 236 247 226 251 1
126 245 135 237 147 237 157 245 147 249 136 250 214 247 224 247 237 241 245 250 235 253 1
123 244 132 236 145 236 156 245 145 249 133 250 212 247 222 247 236 239 245 248 234 252 1
121 244 130 235 143 235 153 245 142 249 131 250 209 247 219 247 233 238 242 249 231 253 1
120 244 129 235 142 235 152 244 141 249 130 250 208 247 218 247 231 238 241 248 230 253 1
121 244 130 235 143 235 153 244 142 249 130 250 209 247 219 247 233 237 242 248 231 252 1
122 244 131 235 144 235 154 245 143 249 132 249 210 247 220 247 233 238 243 249 232 252 1
121 243 130 233 143 234 154 244 143 248 131 248 209 246 220 246 233 236 243 247 232 251 1
120 243 129 234 143 234 154 244 142 248 130 248 210 246 220 246 234 237 245 247 233 251 1
121 244 130 236 143 235 154 244 143 249 131 250 209 247 219 247 232 239 242 248 231 253 1
121 244 130 236 143 236 153 245 142 249 131 249 209 248 219 248 232 240 242 250 231 254 1
121 244 130 236 143 236 153 244 142 249 131 249 209 248 219 248 232 239 241 249 231 253 1
122 246 131 241 143 240 153 244 143 249 132 249 210 248 220 248 232 244 241 250 232 253 0
125 243 133 236 145 236 155 243 145 246 134 246 212 246 222 246 234 240 243 248 233 251 0
125 243 133 237 145 237 155 244 145 247 134 247 212 247 222 247 233 241 242 249 232 251 0
123 243 132 236 144 236 154 244 144 248 133 248 212 247 221 247 233 241 242 248 232 251 1
123 243 132 235 144 236 154 243 144 247 133 247 212 246 221 246 234 240 242 248 232 250 1
124 242 133 235 145 234 155 243 145 247 134 247 212 245 222 245 234 239 243 247 233 250 1
124 244 133 237 145 237 155 244 145 249 134 249 212 247 222 247 234 241 243 249 232 253 1
124 244 133 236 145 236 155 243 144 248 134 248 212 246 222 246 234 241 242 249 232 251 1
125 244 133 237 145 237 156 244 145 248 135 248 213 246 223 246 234 241 243 249 233 251 1
127 244 134 239 145 238 155 243 145 245 136 245 213 245 223 245 233 243 241 249 232 248 0
126 242 134 235 146 235 156 242 146 244 136 244 213 244 222 244 233 240 242 248 232 247 0
125 242 134 234 146 234 156 242 146 246 135 246 213 243 223 243 235 239 243 247 233 247 0
126 242 135 234 146 234 157 242 147 245 136 246 214 244 224 244 235 239 244 247 234 248 0
125 242 134 234 146 234 156 242 146 246 135 246 213 244 222 244 234 238 243 247 232 248 0
124 242 133 234 145 234 156 242 145 246 134 246 213 244 222 244 234 238 243 247 233 248 0
126 243 134 234 146 234 156 243 146 247 135 247 214 244 223 244 235 238 243 248 233 249 0
125 243 133 234 146 234 156 243 146 247 135 248 213 245 222 245 235 238 244 247 233 250 1
124 243 133 235 146 235 156 243 146 247 135 247 212 245 222 245 234 239 243 247 233 250 1
128 245 137 239 149 238 159 243 149 248 138 248 216 246 227 246 238 242 247 250 237 252 0
134 245 143 240 154 239 164 244 154 248 144 248 223 247 233 247 244 244 253 251 243 253 0
143 245 152 241 163 241 173 246 163 250 152 250 231 251 241 251 252 249 260 255 251 258 0
136 242 145 241 155 241 165 243 155 244 145 244 224 247 233 247 243 249 252 253 242 252 0
115 239 125 235 135 235 143 238 134 240 125 240 200 242 210 242 219 240 229 244 219 246 0
98 244 109 238 121 237 131 243 121 247 109 248 184 245 195 245 207 238 218 245 207 249 1
95 246 105 238 118 237 129 244 118 249 106 250 183 246 194 246 207 238 218 246 206 250 1
100 243 109 236 121 235 131 242 121 247 110 248 187 243 198 243 210 236 220 244 209 248 1
105 243 115 235 127 234 136 241 126 246 115 247 192 242 203 242 216 235 225 243 215 247 1
110 242 119 234 131 234 142 241 132 246 120 247 197 243 208 243 220 237 229 245 219 249 1
113 243 122 235 134 234 145 242 134 247 124 247 200 245 211 245 224 237 233 246 222 249 1
112 242 122 234 134 234 144 242 134 246 123 247 200 245 211 245 224 238 234 247 223 250 1
111 242 120 233 133 233 144 241 133 246 121 246 198 243 209 243 222 235 233 244 221 248 1
114 239 124 232 136 232 146 240 136 244 125 245 203 242 213 242 226 235 235 244 224 247 1
113 241 122 234 134 234 145 241 135 246 123 247 200 243 211 243 223 237 232 245 222 249 1
109 241 119 234 131 234 142 242 131 246 120 247 198 242 208 242 221 236 231 244 219 248 1
106 243 115 235 128 234 139 242 128 246 117 247 194 241 204 241 217 234 227 243 216 246 1
110 241 120 234 131 233 142 240 132 245 121 246 198 239 208 239 221 234 230 242 219 245 1
118 243 127 235 140 235 150 242 140 247 128 248 205 244 216 244 228 238 237 247 227 250 1
117 241 126 234 137 234 148 241 138 245 127 246 204 243 214 243 227 237 236 246 225 248 1
114 241 122 234 134 234 145 240 134 245 124 246 200 242 210 242 222 236 231 245 221 248 1
112 241 121 233 134 233 145 241 134 246 123 246 199 243 209 243 222 236 231 245 221 249 1
114 241 123 233 135 233 146 241 135 245 124 246 201 242 211 242 224 235 233 244 222 248 1
116 240 125 233 138 233 148 240 137 245 126 245 203 242 213 242 226 236 236 245 225 248 1
116 241 126 233 138 233 149 241 138 245 127 246 205 243 215 243 228 237 237 246 226 249 1
118 240 127 232 139 232 150 240 139 245 128 245 205 242 216 242 229 235 238 245 227 248 1
117 240 126 232 139 232 150 240 139 244 127 245 205 242 215 242 228 235 238 243 227 247 1
117 240 126 232 139 232 149 241 138 245 127 245 205 243 216 243 229 236 238 246 227 249 1
118 240 127 232 140 233 151 241 140 245 128 246 206 243 216 243 229 236 238 245 227 248 1
119 241 128 232 140 233 151 242 140 246 128 246 206 244 216 244 229 236 239 246 227 249 1
119 240 128 232 140 232 151 240 140 245 129 245 205 243 215 243 228 236 237 246 226 249 1
119 240 128 232 140 232 151 241 140 245 129 245 207 243 217 243 230 235 240 245 228 248 1
121 240 130 232 143 232 153 241 142 245 131 245 207 244 218 244 230 237 240 246 229 249 1
121 240 131 231 144 231 154 240 143 245 132 245 209 243 219 243 233 234 243 245 232 248 1
122 240 131 231 145 231 155 240 144 245 132 245 209 243 219 243 233 235 243 245 231 249 1
122 240 131 233 145 233 155 241 144 246 132 246 209 244 219 244 233 236 243 246 231 250 1
122 241 131 233 143 233 154 241 143 246 132 246 209 244 219 244 232 237 242 246 231 250 1
122 241 131 233 144 233 155 241 144 246 132 246 210 245 220 245 233 238 243 247 232 250 1
123 242 132 234 144 234 154 242 144 246 133 247 210 245 220 245 233 238 242 248 232 251 1
123 242 132 235 145 235 156 243 145 248 133 248 211 246 221 246 233 239 243 248 232 251 1
124 242 133 235 146 235 156 242 145 247 134 247 211 245 221 245 234 239 244 247 233 251 1
124 242 133 235 146 235 157 243 146 247 134 248 212 246 222 246 235 239 245 248 234 252 1
125 243 135 236 147 236 157 243 147 248 136 248 213 247 223 247 236 241 245 250 234 253 1
125 243 134 235 146 235 157 244 146 248 135 248 212 247 222 247 235 240 244 250 233 253 1
125 243 134 235 146 235 157 243 146 248 135 248 212 247 222 247 235 240 245 249 234 253 1
125 243 134 235 147 235 157 243 146 247 135 248 213 247 223 247 235 240 245 249 234 252 1
125 243 134 235 147 235 157 243 146 248 135 248 212 247 222 247 235 239 244 248 234 252 1
125 242 134 234 147 234 158 243 147 247 135 247 212 247 222 247 235 239 244 249 233 252 1
126 243 135 235 148 235 159 244 148 248 136 248 213 247 223 247 236 240 246 249 235 253 1
127 242 136 234 149 234 160 243 149 247 137 248 215 247 224 247 237 240 247 249 236 253 1
128 243 137 235 150 235 160 243 149 248 138 248 215 248 225 248 238 240 247 250 237 254 1
127 243 136 234 149 235 160 243 148 248 137 248 215 247 225 247 238 240 247 250 236 253 1
126 242 135 234 148 234 158 243 147 247 136 248 213 247 224 247 237 239 246 249 236 253 1
126 243 136 235 149 235 159 244 148 248 137 248 214 247 225 247 238 240 247 250 236 254 1
127 243 136 235 149 235 160 244 149 248 137 249 215 248 225 248 238 240 248 250 237 254 1
127 243 136 235 150 235 160 244 149 248 137 248 215 248 225 248 238 240 248 250 237 253 1
126 243 136 235 149 235 159 244 148 248 136 248 214 248 224 248 237 239 247 249 236 253 1
126 243 135 235 149 235 159 244 148 248 136 248 214 248 224 248 238 240 247 249 236 253 1
129 244 138 236 150 236 160 244 150 249 139 249 216 248 226 248 238 241 247 251 237 254 1
130 244 139 236 152 236 163 245 152 249 140 249 217 249 227 249 240 242 250 251 239 255 1
130 244 140 237 153 237 163 245 152 249 141 249 218 249 228 249 241 243 250 251 240 255 1
130 244 140 237 152 236 162 244 152 248 141 248 218 248 228 248 240 242 249 250 239 253 1
130 244 139 237 151 237 161 244 151 248 140 248 219 248 228 248 240 242 248 251 239 253 0
129 243 138 237 151 237 161 244 150 248 139 248 218 248 228 248 240 242 248 251 239 253 0
129 243 138 236 151 236 161 244 150 248 139 248 218 248 227 248 239 242 249 250 238 254 0
130 244 139 236 152 236 161 245 151 249 140 248 219 249 228 249 241 242 250 251 239 254 1
130 244 140 237 152 237 162 245 151 249 140 249 218 248 228 248 240 242 250 250 239 254 1
130 244 139 237 152 237 162 245 151 249 140 249 217 249 227 249 239 242 249 251 238 254 1
129 243 139 236 151 236 161 245 150 248 139 248 216 248 226 248 239 241 248 251 237 253 1
129 243 138 235 151 235 162 244 150 248 139 248 216 248 226 248 238 240 248 250 237 252 1
130 243 139 234 153 234 164 244 152 248 140 248 217 248 228 248 241 239 251 249 240 253 1
131 243 140 234 153 234 164 245 152 248 141 248 218 248 228 248 242 240 251 250 241 253 1
130 244 139 236 152 236 162 245 151 249 140 249 217 249 227 249 239 242 249 251 238 255 1
129 244 139 237 151 237 162 245 151 249 139 249 217 249 227 249 239 242 248 251 238 255 1
131 244 140 237 153 236 163 245 152 249 141 249 219 249 228 249 241 242 251 251 240 255 1
130 244 139 237 152 237 162 245 151 249 140 249 217 250 227 250 240 243 249 252 238 255 1
130 245 140 238 152 238 163 246 152 250 140 250 218 249 228 249 241 243 250 252 239 255 1
132 245 141 238 153 238 164 247 152 250 141 250 219 251 228 251 241 245 250 253 240 256 1
133 246 142 238 155 238 165 247 154 251 142 251 220 251 230 251 242 245 252 254 241 257 1
133 247 142 239 155 239 165 247 154 252 143 252 220 252 230 252 242 246 252 254 241 257 1
132 246 141 239 154 239 165 248 153 252 142 252 220 252 230 252 243 246 252 255 241 258 1
133 247 142 239 154 239 165 247 154 252 142 252 219 251 229 251 242 245 251 254 240 257 1
131 246 140 239 153 239 164 247 153 251 141 251 218 252 229 252 241 245 250 254 240 257 1
135 245 144 238 156 238 166 247 156 251 144 250 221 252 231 252 243 245 252 255 242 257 1
134 246 143 238 156 238 166 247 155 250 144 250 221 251 231 251 244 244 253 254 242 257 1
133 246 142 237 155 238 166 247 154 251 143 251 220 251 230 251 243 244 252 254 242 257 1
135 245 144 240 155 239 165 245 155 249 145 249 222 251 232 251 244 247 252 254 243 256 0
137 246 147 239 160 238 169 247 159 252 148 251 224 252 235 252 248 246 256 255 246 259 1
136 246 146 239 158 239 167 246 157 251 146 251 224 252 234 252 247 246 256 254 246 258 1
136 247 146 242 157 241 167 247 157 253 146 252 224 253 234 253 246 248 255 256 245 260 1
135 247 145 242 157 241 167 248 156 252 145 252 223 253 233 253 245 248 254 256 244 260 1
135 247 144 242 156 241 166 248 156 253 145 253 223 253 233 253 245 248 255 255 244 259 1
134 247 144 242 155 241 165 248 155 252 144 252 223 253 233 253 245 248 254 255 244 259 1
136 246 146 243 156 242 167 245 157 248 146 249 224 251 234 251 245 248 254 253 245 254 0
149 243 159 236 172 235 181 243 171 248 160 248 235 249 246 249 258 243 266 251 257 255 1
149 242 159 235 172 234 181 243 171 248 160 248 235 248 246 248 258 241 267 250 257 255 1
148 243 158 237 171 236 180 244 170 249 159 249 235 249 246 249 258 243 267 250 257 255 1
147 244 157 237 170 236 179 244 169 249 158 249 233 249 244 249 257 243 265 251 255 256 1
147 243 157 237 170 236 179 244 169 249 158 249 233 250 244 250 256 243 264 251 255 256 1
